1;Belgique
2;Suisse
3;Pays-Bas
4;Pologne
5;Vatican
6;Algérie
7;Australie
8;Bosnie-Herzégovine
9;République tchèque
10;France
11;Corée du Sud
12;Arménie
13;Allemagne
14;Qatar
15;Slovaquie
16;Gibraltar
17;Inde
18;Lettonie
19;Sri Lanka
20;Autriche
21;Egypte
22;Lituanie
23;Mexique
24;Norvège
25;Thaïlande
26;Emirats arabes unis
27;Espagne
28;Royaume-Uni
29;Islande
30;Kenya
31;Nigéria
32;Burkina Faso
33;Chine
34;Cambodge
35;Liban
36;Slovénie
37;Turquie
38;Canada
39;Mali
40;Chili
41;Croatie
42;Arabie Saoudite
43;Costa Rica
44;Guinée
45;Japon
46;Congo
47;Roumanie
48;Afrique du Sud
49;Grèce
50;Finlande
51;Monténégro
52;Malaisie
53;Nouvelle-Zélande
54;Pérou
55;Etats-Unis
56;Cameroun
57;Italie
58;Suède
59;Tunisie
60;Danemark
61;Singapour
62;Uruguay
63;Venezuela
64;Portugal
65;Bulgarie
66;Maroc
67;Viêt Nam
68;Hongrie
69;Irlande
70;Argentine
71;Luxembourg
72;Andorre
73;Brésil
74;Monaco
75;Malte
76;Sénégal
77;Pakistan
